construction,RPLY1_cured_angle,RBELT1_cured_angle,RBELT2_cured_angle,RPLY2_cured_angle,Curing Width_UDMSIteration,Rim Width_UDMSIteration,Tread Arc Radius 1,Belt Width 1,Belt Width 2,Rim Diameter,Section Height,Shoulder Radius,Cavity Outer Diameter,Cavity Section Width,inflation,Inner Perimeter,Apex Ending,Minimum Side Wall gauge,Base Gauge at Centre,Cap Thickness at centre,Non Skid Depth,Ply turnup height 1,Ply turnup height 2,Total Center Guage,Total Rubber Guage at Shoulder,Total Shoulder Gauge,size,Section Ratio,Belt_Angle_Difference,Belt_Width_Difference,RPLY1_epi,RBELT1_epi,RBELT2_epi,RCAPPLY_epi,RPLY2_epi,RPLY1_denier,RBELT1_denier,RBELT2_denier,RCAPPLY_denier,RPLY2_denier,Aspect_ratio
1+0,90,24,-23,Not Applicable,6,5,300,136.047,124.146,15,108.1,31.5,589.96,189.977,210,341.833,30.546,1.805,1.5,9.9,8.374,53.525,0,16.78,7.929,15.229,175/60R15,0.569016249,47,11.901,29,18,18,30,Not Applicable,1500,NA,NA,1260,Not Applicable,60
2+0,90,24,-26,90,8.5,7.5,800.2,195.567,183.902,18,154.04,15,763,267.993,180,498.464,41.985,3.514,3.233,7.767,8.474,60,50,17.12,7.478,15.804,255/60R18,0.574791133,50,11.665,29,18,18,25,29,1500,2+2x0p35HT,2+2x0p35HT,1260,29,60
2+0,90,24,-26,90,8.5,7.5,800.2,195.567,183.902,18,154.04,15,763,267.993,210,498.464,41.985,3.514,3.233,7.767,8.474,60,50,17.12,7.478,15.804,255/60R18,0.574791133,50,11.665,29,18,18,25,29,1500,2+2x0p35HT,2+2x0p35HT,1260,29,60
2+0,90,24,-26,90,8.5,7.5,800.2,195.567,183.902,18,154.04,15,763,267.993,240,498.464,41.985,3.514,3.233,7.767,8.474,60,50,17.12,7.478,15.804,255/60R18,0.574791133,50,11.665,29,18,18,25,29,1500,2+2x0p35HT,2+2x0p35HT,1260,29,60
2+0,90,25,-23,90,6.5,6,965,145.507,133.77,16,112.3,66.309,623.48,198.993,180,357.833,33.838,3.011,2,0.013,6.991,45,33.838,15.29,0,6.088,165/80R14,0.564341459,48,11.737,28,18,18,30,28,1000,NA,NA,1260,28,80
2+0,90,25,-23,90,6.5,6,965,145.507,133.77,16,112.3,66.309,623.48,198.993,210,357.833,33.838,3.011,2,0.013,6.991,45,33.838,15.29,0,6.088,165/80R14,0.564341459,48,11.737,28,18,18,30,28,1000,NA,NA,1260,28,80
2+0,90,25,-23,90,6.5,6,965,145.507,133.77,16,112.3,66.309,623.48,198.993,220,357.833,33.838,3.011,2,0.013,6.991,45,33.838,15.29,0,6.088,165/80R14,0.564341459,48,11.737,28,18,18,30,28,1000,NA,NA,1260,28,80
2+0,-90,25,-25,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,220,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,50,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,25,-25,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,250,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,50,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
2+0,-90,27,-27,90,8.5,8,680,190.077,178.124,18,125.42,30,705.6,251.2,220,432.208,37.801,2.501,2,6.8,6.924,60.141,19.957,15.93,5.264,13.346,225/55R18,0.499283439,54,11.953,28,18,18,25,28,1000,NA,NA,1260,28,55
